origem,destino,score_passeio,custo_total,tempo_total
AquaRio,Pão de Açúcar,0.05,203.6,151.4
AquaRio,Theatro Municipal,0.15,28.6,116.25
AquaRio,Parque dos Patins,0.2,38.6,116.76666666666667
AquaRio,Mosteiro de São Bento,0.3,0.0,49.516666666666666
AquaRio,Santa Teresa,0.1,24.3,137.48333333333335
AquaRio,Forte de Copacabana,0.2,14.6,145.78333333333333
AquaRio,BioParque do Rio,0.3,55.9,233.93333333333334
AquaRio,Maracanã,0.25,83.6,128.86666666666667
AquaRio,Restaurante Spesso,0.1,76.5,47.0
Theatro Municipal,Hotel,0.0,0.0,4.016666666666667
Theatro Municipal,Cristo Redentor,0.01,132.3,168.53333333333333
Theatro Municipal,Jardim Botânico,0.2,27.3,152.51666666666665
Theatro Municipal,CCBB,0.25,0.0,164.71666666666667
Theatro Municipal,Museu do Amanhã,0.15,30.0,116.5
Theatro Municipal,Pão de Açúcar,0.05,202.5,109.18333333333334
Theatro Municipal,AquaRio,0.3,120.0,127.26666666666667
Theatro Municipal,Parque dos Patins,0.2,34.3,107.28333333333333
Theatro Municipal,Mosteiro de São Bento,0.3,0.0,49.85
Theatro Municipal,Santa Teresa,0.1,20.0,124.26666666666667
Theatro Municipal,Forte de Copacabana,0.2,10.3,136.25
Theatro Municipal,BioParque do Rio,0.3,55.9,207.61666666666667
Theatro Municipal,Maracanã,0.25,79.3,116.25
Theatro Municipal,Restaurante Spesso,0.1,75.4,20.0
Parque dos Patins,Hotel,0.0,4.3,58.66666666666666
Parque dos Patins,Cristo Redentor,0.01,136.6,219.48333333333332
Parque dos Patins,Jardim Botânico,0.2,23.0,128.51666666666665
Parque dos Patins,CCBB,0.25,4.3,206.53333333333333
Parque dos Patins,Museu do Amanhã,0.15,38.6,165.03333333333333
Parque dos Patins,Pão de Açúcar,0.05,199.3,135.08333333333331
Parque dos Patins,AquaRio,0.3,128.6,174.05
Parque dos Patins,Theatro Municipal,0.15,24.3,149.45
Parque dos Patins,Mosteiro de São Bento,0.3,4.3,94.85
Parque dos Patins,Santa Teresa,0.1,24.3,183.68333333333334
Parque dos Patins,Forte de Copacabana,0.2,14.6,167.61666666666667
Parque dos Patins,BioParque do Rio,0.3,60.2,228.58333333333331
Parque dos Patins,Maracanã,0.25,83.6,152.0
Parque dos Patins,Restaurante Spesso,0.1,72.2,48.75
Mosteiro de São Bento,Hotel,0.0,0.0,24.9
Mosteiro de São Bento,Cristo Redentor,0.01,132.3,176.16666666666669
Mosteiro de São Bento,Jardim Botânico,0.2,27.3,166.78333333333333
Mosteiro de São Bento,CCBB,0.25,0.0,158.05
Mosteiro de São Bento,Museu do Amanhã,0.15,30.0,98.6
Mosteiro de São Bento,Pão de Açúcar,0.05,199.3,156.2166666666667
Mosteiro de São Bento,AquaRio,0.3,120.0,109.43333333333334
Mosteiro de São Bento,Theatro Municipal,0.15,20.0,109.91666666666667
Mosteiro de São Bento,Parque dos Patins,0.2,34.3,121.55
Mosteiro de São Bento,Santa Teresa,0.1,20.0,143.93333333333334
Mosteiro de São Bento,Forte de Copacabana,0.2,10.3,150.6
